supplier_id,supplier_name,component_name,component_category,supplier_region,country,approved_vendor_status,lead_time_days,sourcing_tier,contract_end_date,moq,sourcing_allocation_cap,headroom_capacity_units,historical_reliability_score,risk_score
SUP-038,Hsinchu Mobile Memory,LPDDR5 Mobile DRAM,Memory Components,Hsinchu,Taiwan,AVL,32,Tier 1,2027-08-31,4500,0.30,110000,0.92,0.38
SUP-039,Boise Memory Works,LPDDR5 Mobile DRAM,Memory Components,Boise,United States,AVL,40,Tier 2,2028-06-30,3000,0.25,80000,0.90,0.20
SUP-040,Cheonan UFS Storage,UFS 4.0 Storage,Memory Components,Cheonan,South Korea,AVL,30,Tier 1,2027-12-31,4000,0.35,120000,0.93,0.30
SUP-041,Yokkaichi Flash Foundry,UFS 4.0 Storage,Memory Components,Yokkaichi,Japan,AVL,34,Tier 1,2028-04-30,3500,0.30,100000,0.94,0.22
SUP-042,Cupertino Silicon Labs,5G Modem Baseband,RF Components,San Diego,United States,AVL,45,Tier 1,2028-08-31,800,0.45,35000,0.95,0.18
SUP-043,Beijing Wireless Logic,5G Modem Baseband,RF Components,Beijing,China,Non-AVL,38,Tier 3,2026-11-30,1000,0.10,22000,0.70,0.78
SUP-044,Suwon mmWave Antenna,5G mmWave Antenna Module,RF Components,Suwon,South Korea,AVL,36,Tier 1,2028-01-31,2000,0.30,60000,0.92,0.28
SUP-045,Tokyo Bluetooth Combo,WiFi 7 / Bluetooth Combo SoC,RF Components,Tokyo,Japan,AVL,30,Tier 2,2027-10-31,3000,0.25,75000,0.93,0.20
SUP-046,Cork RF Front-End Labs,RF Front-End Modules,RF Components,Cork,Ireland,AVL,42,Tier 2,2028-05-31,1200,0.20,38000,0.94,0.16
SUP-047,Bay Area UWB Systems,Ultra-Wideband Chips,RF Components,Sunnyvale,United States,AVL,40,Tier 1,2028-03-31,1500,0.35,42000,0.96,0.15
SUP-048,Asahi Cover Glass,Strengthened Cover Glass,Display Components,Shizuoka,Japan,AVL,35,Tier 1,2028-07-31,2500,0.40,80000,0.96,0.20
SUP-049,Kentucky Cover Glass Inc,Strengthened Cover Glass,Display Components,Harrodsburg,United States,AVL,38,Tier 1,2027-12-31,2000,0.35,70000,0.94,0.18
SUP-050,Anhui Glass Solutions,Strengthened Cover Glass,Display Components,Hefei,China,Non-AVL,30,Tier 3,2026-09-30,3500,0.10,55000,0.71,0.66
SUP-051,Cheongju Flexible OLED,Foldable OLED Panels,Display Components,Cheongju,South Korea,AVL,40,Tier 1,2028-06-30,800,0.50,28000,0.94,0.36
SUP-052,Hefei Foldable Display,Foldable OLED Panels,Display Components,Hefei,China,AVL,38,Tier 2,2027-10-31,1000,0.25,32000,0.85,0.62
SUP-053,Kunshan Polarizer Tech,Display Polarizer Film,Display Components,Kunshan,China,AVL,22,Tier 2,2027-05-31,8000,0.25,160000,0.88,0.55
SUP-054,Osaka Optical Films,Display Polarizer Film,Display Components,Osaka,Japan,AVL,26,Tier 1,2028-02-28,6000,0.30,140000,0.95,0.18
SUP-055,Taichung Camera Optics,Plastic Aspheric Camera Lens,Camera Components,Taichung,Taiwan,AVL,28,Tier 1,2027-09-30,3500,0.40,95000,0.95,0.24
SUP-056,Suzhou Precision Lens,Plastic Aspheric Camera Lens,Camera Components,Suzhou,China,AVL,25,Tier 2,2027-06-30,4500,0.25,110000,0.86,0.60
SUP-057,Quanzhou Optics Lab,Plastic Aspheric Camera Lens,Camera Components,Quanzhou,China,Non-AVL,24,Tier 3,2026-08-31,5000,0.10,80000,0.68,0.72
SUP-058,Hamburg ToF Sensors,Time-of-Flight Depth Sensor,Camera Components,Hamburg,Germany,AVL,44,Tier 1,2028-04-30,1000,0.30,30000,0.94,0.18
SUP-059,Hsinchu Fingerprint IC,Ultrasonic Fingerprint Sensor,Sensor Components,Hsinchu,Taiwan,AVL,35,Tier 2,2027-11-30,2500,0.25,65000,0.91,0.22
SUP-060,San Jose Biometrics,Ultrasonic Fingerprint Sensor,Sensor Components,San Jose,United States,AVL,40,Tier 1,2028-08-31,1800,0.30,50000,0.94,0.16
SUP-061,Linz MEMS Microphones,MEMS Microphone Array,Sensor Components,Linz,Austria,AVL,32,Tier 1,2028-05-31,8000,0.35,180000,0.96,0.15
SUP-062,Wuxi Acoustic Sensors,MEMS Microphone Array,Sensor Components,Wuxi,China,Non-AVL,26,Tier 3,2026-12-31,12000,0.10,130000,0.72,0.64
SUP-063,Suzhou Speaker Modules,Smartphone Speaker Module,Acoustic Components,Suzhou,China,AVL,24,Tier 2,2027-07-31,6000,0.25,150000,0.86,0.48
SUP-064,Copenhagen Audio Tech,Smartphone Speaker Module,Acoustic Components,Copenhagen,Denmark,AVL,36,Tier 1,2028-06-30,3000,0.30,80000,0.94,0.18
SUP-065,Nidec Haptic Engine,Linear Haptic Actuator,Acoustic Components,Kyoto,Japan,AVL,30,Tier 1,2027-11-30,4000,0.40,90000,0.95,0.20
SUP-066,Changzhou Vibration Motors,Linear Haptic Actuator,Acoustic Components,Changzhou,China,AVL,26,Tier 2,2027-08-31,5500,0.25,120000,0.85,0.55
SUP-067,Ningbo Wireless Coils,Wireless Charging Coil,Power Components,Ningbo,China,AVL,22,Tier 2,2027-09-30,7000,0.25,140000,0.87,0.50
SUP-068,Frankfurt Inductive Power,Wireless Charging Coil,Power Components,Frankfurt,Germany,AVL,32,Tier 1,2028-03-31,4000,0.30,90000,0.95,0.18
SUP-069,Reno Lithium Polymer,Lithium Polymer Battery Cells,Power Components,Reno,United States,AVL,30,Tier 2,2028-01-31,4000,0.30,85000,0.92,0.20
SUP-070,Tianjin Battery Systems,Lithium Polymer Battery Cells,Power Components,Tianjin,China,AVL,24,Tier 1,2027-07-31,6000,0.35,130000,0.86,0.62
SUP-071,Cheonan PMIC Design,Mobile Power Management IC,Power Components,Cheonan,South Korea,AVL,34,Tier 1,2028-02-28,3500,0.35,95000,0.94,0.22
SUP-072,Munich Power Logic,Mobile Power Management IC,Power Components,Munich,Germany,AVL,42,Tier 2,2028-07-31,2500,0.25,70000,0.93,0.16
SUP-073,Taipei USB-C Controllers,USB-C Power Delivery Controller,Power Components,Taipei,Taiwan,AVL,28,Tier 2,2027-10-31,5000,0.30,110000,0.92,0.24
SUP-074,Penang Audio Codec,Audio Codec IC,Audio Components,Penang,Malaysia,AVL,30,Tier 2,2027-08-31,6500,0.25,125000,0.89,0.28
SUP-075,Edinburgh Audio Silicon,Audio Codec IC,Audio Components,Edinburgh,United Kingdom,AVL,38,Tier 1,2028-04-30,4500,0.30,90000,0.94,0.16
SUP-076,Kaohsiung eSIM Foundry,eSIM Secure Element,Security Components,Kaohsiung,Taiwan,AVL,32,Tier 1,2028-05-31,3000,0.35,80000,0.94,0.20
SUP-077,Rousset Secure Elements,eSIM Secure Element,Security Components,Rousset,France,AVL,40,Tier 1,2028-09-30,2500,0.30,65000,0.95,0.15
SUP-078,Foxconn Aluminum Chassis,Aluminum Unibody Mid-Frame,Mechanical Components,Zhengzhou,China,AVL,20,Tier 1,2027-06-30,5000,0.40,180000,0.90,0.58
SUP-079,Pegatron Frame Works,Aluminum Unibody Mid-Frame,Mechanical Components,Taoyuan,Taiwan,AVL,22,Tier 1,2028-01-31,4500,0.30,150000,0.93,0.30
SUP-080,Chennai Precision Metals,Aluminum Unibody Mid-Frame,Mechanical Components,Chennai,India,AVL,26,Tier 2,2028-08-31,4000,0.25,130000,0.88,0.24
SUP-081,Osaka Stainless Frame,Stainless Steel Mid-Frame,Mechanical Components,Osaka,Japan,AVL,28,Tier 1,2028-03-31,3500,0.40,100000,0.96,0.18
SUP-082,Hanoi Metal Assembly,Stainless Steel Mid-Frame,Mechanical Components,Hanoi,Vietnam,AVL,30,Tier 2,2027-12-31,3000,0.20,90000,0.85,0.32
SUP-083,Dongguan Thermal Films,Thermal Graphite Heat Spreader,Thermal Components,Dongguan,China,AVL,18,Tier 2,2027-09-30,15000,0.30,250000,0.88,0.52
SUP-084,Yokohama Thermal Materials,Thermal Graphite Heat Spreader,Thermal Components,Yokohama,Japan,AVL,24,Tier 1,2028-06-30,10000,0.25,180000,0.95,0.18
SUP-085,Suzhou EMI Shielding,EMI Shielding Components,Mechanical Components,Suzhou,China,AVL,20,Tier 2,2027-05-31,20000,0.30,300000,0.89,0.55
SUP-086,Ulsan Adhesive Films,Optically Clear Adhesive Film,Display Components,Ulsan,South Korea,AVL,22,Tier 2,2027-08-31,12000,0.30,220000,0.91,0.30
SUP-087,Bremen Crystal Oscillators,Quartz Crystal Oscillator,Passive Components,Bremen,Germany,AVL,30,Tier 1,2028-04-30,25000,0.25,400000,0.96,0.16
SUP-088,Kyoto Inductor Works,Mobile Power Inductors,Passive Components,Kyoto,Japan,AVL,26,Tier 1,2027-11-30,30000,0.30,500000,0.97,0.14
SUP-089,Penang Substrate Inc,Mobile PCB Substrate,Interconnect,Penang,Malaysia,AVL,28,Tier 2,2028-02-28,6000,0.25,140000,0.90,0.26
SUP-090,Daegu HDI Boards,Mobile PCB Substrate,Interconnect,Daegu,South Korea,AVL,24,Tier 1,2027-09-30,7000,0.35,170000,0.93,0.28
